sentitweet,themetweet,Date,Number,searchterm,Theme
-3,0,2015-10-22,8,Canada,Climate
-3,0,2015-10-23,22,Canada,Climate
-3,0,2015-10-24,34,Canada,Climate
-3,0,2015-10-25,10,Canada,Climate
-3,0,2015-10-26,12,Canada,Climate
-3,0,2015-10-27,25,Canada,Climate
-3,0,2015-10-28,9,Canada,Climate
-3,0,2015-10-29,41,Canada,Climate
-3,0,2015-10-30,13,Canada,Climate
-3,0,2015-10-31,13,Canada,Climate
-3,1,2015-10-03,1,Canada,Climate
-3,1,2015-10-08,1,Canada,Climate
-3,1,2015-10-12,1,Canada,Climate
-3,1,2015-10-18,1,Canada,Climate
-3,2,2015-10-04,1,Canada,Climate
-3,2,2015-10-15,1,Canada,Climate
-3,2,2015-10-17,1,Canada,Climate
-2,0,2015-09-28,68,Canada,Climate
-2,0,2015-09-29,42,Canada,Climate
-2,0,2015-09-30,16,Canada,Climate
-2,0,2015-10-01,35,Canada,Climate
-2,0,2015-10-02,44,Canada,Climate
-2,0,2015-10-03,54,Canada,Climate
-2,0,2015-10-04,76,Canada,Climate
-2,0,2015-10-05,89,Canada,Climate
-2,0,2015-10-06,80,Canada,Climate
-2,0,2015-10-07,97,Canada,Climate
-2,0,2015-10-08,68,Canada,Climate
-2,0,2015-10-09,95,Canada,Climate
-2,0,2015-10-10,58,Canada,Climate
-2,0,2015-10-11,53,Canada,Climate
-2,0,2015-10-12,64,Canada,Climate
-2,0,2015-10-13,87,Canada,Climate
-2,0,2015-10-14,53,Canada,Climate
-2,0,2015-10-15,138,Canada,Climate
-2,0,2015-10-16,72,Canada,Climate
-2,0,2015-10-17,92,Canada,Climate
-2,0,2015-10-18,94,Canada,Climate
-2,0,2015-10-19,63,Canada,Climate
-2,0,2015-10-20,83,Canada,Climate
-2,0,2015-10-21,98,Canada,Climate
-2,0,2015-10-22,127,Canada,Climate
-2,0,2015-10-23,128,Canada,Climate
-2,0,2015-10-24,134,Canada,Climate
-2,0,2015-10-25,77,Canada,Climate
-2,0,2015-10-26,91,Canada,Climate
-2,0,2015-10-27,120,Canada,Climate
-2,0,2015-10-28,118,Canada,Climate
-2,0,2015-10-29,101,Canada,Climate
-2,0,2015-10-30,119,Canada,Climate
-2,0,2015-10-31,72,Canada,Climate
-2,1,2015-09-29,1,Canada,Climate
-2,1,2015-09-30,1,Canada,Climate
-2,1,2015-10-01,1,Canada,Climate
-2,1,2015-10-04,1,Canada,Climate
-2,1,2015-10-05,1,Canada,Climate
-2,1,2015-10-06,1,Canada,Climate
-2,1,2015-10-08,5,Canada,Climate
-2,1,2015-10-09,1,Canada,Climate
-2,1,2015-10-10,1,Canada,Climate
-2,1,2015-10-11,1,Canada,Climate
-2,1,2015-10-15,1,Canada,Climate
-2,1,2015-10-17,1,Canada,Climate
-2,1,2015-10-18,1,Canada,Climate
-2,1,2015-10-19,1,Canada,Climate
-2,1,2015-10-20,1,Canada,Climate
-2,1,2015-10-24,2,Canada,Climate
-2,1,2015-10-25,1,Canada,Climate
-2,1,2015-10-26,4,Canada,Climate
-2,1,2015-10-27,5,Canada,Climate
-2,1,2015-10-28,7,Canada,Climate
-2,1,2015-10-30,1,Canada,Climate
-2,2,2015-10-16,1,Canada,Climate
-2,2,2015-10-27,1,Canada,Climate
-2,3,2015-09-28,1,Canada,Climate
-1,0,2015-09-28,154,Canada,Climate
-1,0,2015-09-29,228,Canada,Climate
-1,0,2015-09-30,107,Canada,Climate
-1,0,2015-10-01,226,Canada,Climate
-1,0,2015-10-02,223,Canada,Climate
-1,0,2015-10-03,243,Canada,Climate
-1,0,2015-10-04,402,Canada,Climate
-1,0,2015-10-05,464,Canada,Climate
-1,0,2015-10-06,212,Canada,Climate
-1,0,2015-10-07,407,Canada,Climate
-1,0,2015-10-08,337,Canada,Climate
-1,0,2015-10-09,385,Canada,Climate
-1,0,2015-10-10,276,Canada,Climate
-1,0,2015-10-11,259,Canada,Climate
-1,0,2015-10-12,293,Canada,Climate
-1,0,2015-10-13,382,Canada,Climate
-1,0,2015-10-14,180,Canada,Climate
-1,0,2015-10-15,419,Canada,Climate
-1,0,2015-10-16,387,Canada,Climate
-1,0,2015-10-17,351,Canada,Climate
-1,0,2015-10-18,405,Canada,Climate
-1,0,2015-10-19,468,Canada,Climate
-1,0,2015-10-20,320,Canada,Climate
-1,0,2015-10-21,414,Canada,Climate
-1,0,2015-10-22,420,Canada,Climate
-1,0,2015-10-23,441,Canada,Climate
-1,0,2015-10-24,332,Canada,Climate
-1,0,2015-10-25,368,Canada,Climate
-1,0,2015-10-26,342,Canada,Climate
-1,0,2015-10-27,446,Canada,Climate
-1,0,2015-10-28,426,Canada,Climate
-1,0,2015-10-29,439,Canada,Climate
-1,0,2015-10-30,448,Canada,Climate
-1,0,2015-10-31,385,Canada,Climate
-1,1,2015-09-28,3,Canada,Climate
-1,1,2015-09-29,4,Canada,Climate
-1,1,2015-09-30,2,Canada,Climate
-1,1,2015-10-01,3,Canada,Climate
-1,1,2015-10-02,1,Canada,Climate
-1,1,2015-10-03,3,Canada,Climate
-1,1,2015-10-04,7,Canada,Climate
-1,1,2015-10-05,2,Canada,Climate
-1,1,2015-10-06,2,Canada,Climate
-1,1,2015-10-07,1,Canada,Climate
-1,1,2015-10-08,11,Canada,Climate
-1,1,2015-10-09,4,Canada,Climate
-1,1,2015-10-10,2,Canada,Climate
-1,1,2015-10-11,2,Canada,Climate
-1,1,2015-10-12,2,Canada,Climate
-1,1,2015-10-13,4,Canada,Climate
-1,1,2015-10-15,6,Canada,Climate
-1,1,2015-10-16,6,Canada,Climate
-1,1,2015-10-17,3,Canada,Climate
-1,1,2015-10-18,10,Canada,Climate
-1,1,2015-10-19,1,Canada,Climate
-1,1,2015-10-20,1,Canada,Climate
-1,1,2015-10-21,3,Canada,Climate
-1,1,2015-10-22,6,Canada,Climate
-1,1,2015-10-23,13,Canada,Climate
-1,1,2015-10-24,5,Canada,Climate
-1,1,2015-10-25,2,Canada,Climate
-1,1,2015-10-26,5,Canada,Climate
-1,1,2015-10-27,5,Canada,Climate
-1,1,2015-10-28,21,Canada,Climate
-1,1,2015-10-29,2,Canada,Climate
-1,1,2015-10-30,10,Canada,Climate
-1,1,2015-10-31,5,Canada,Climate
-1,2,2015-09-28,1,Canada,Climate
-1,2,2015-10-01,1,Canada,Climate
-1,2,2015-10-09,1,Canada,Climate
-1,2,2015-10-11,1,Canada,Climate
-1,2,2015-10-16,1,Canada,Climate
-1,2,2015-10-17,1,Canada,Climate
-1,2,2015-10-18,2,Canada,Climate
-1,2,2015-10-20,1,Canada,Climate
-1,2,2015-10-23,1,Canada,Climate
-1,2,2015-10-24,1,Canada,Climate
-1,3,2015-10-03,2,Canada,Climate
-1,3,2015-10-12,1,Canada,Climate
-1,3,2015-10-16,1,Canada,Climate
-1,3,2015-10-26,1,Canada,Climate
0,0,2015-09-28,633,Canada,Climate
0,0,2015-09-29,800,Canada,Climate
0,0,2015-09-30,424,Canada,Climate
0,0,2015-10-01,856,Canada,Climate
0,0,2015-10-02,799,Canada,Climate
0,0,2015-10-03,910,Canada,Climate
0,0,2015-10-04,1665,Canada,Climate
0,0,2015-10-05,1528,Canada,Climate
0,0,2015-10-06,799,Canada,Climate
0,0,2015-10-07,1693,Canada,Climate
0,0,2015-10-08,1740,Canada,Climate
0,0,2015-10-09,1679,Canada,Climate
0,0,2015-10-10,1829,Canada,Climate
0,0,2015-10-11,1322,Canada,Climate
0,0,2015-10-12,1635,Canada,Climate
0,0,2015-10-13,1629,Canada,Climate
0,0,2015-10-14,647,Canada,Climate
0,0,2015-10-15,1568,Canada,Climate
0,0,2015-10-16,1677,Canada,Climate
0,0,2015-10-17,1656,Canada,Climate
0,0,2015-10-18,2004,Canada,Climate
0,0,2015-10-19,1994,Canada,Climate
0,0,2015-10-20,1926,Canada,Climate
0,0,2015-10-21,1978,Canada,Climate
0,0,2015-10-22,2124,Canada,Climate
0,0,2015-10-23,2215,Canada,Climate
0,0,2015-10-24,1988,Canada,Climate
0,0,2015-10-25,1920,Canada,Climate
0,0,2015-10-26,2127,Canada,Climate
0,0,2015-10-27,2419,Canada,Climate
0,0,2015-10-28,2312,Canada,Climate
0,0,2015-10-29,2322,Canada,Climate
0,0,2015-10-30,2123,Canada,Climate
0,0,2015-10-31,2395,Canada,Climate
0,0,NA,1,Canada,Climate
0,1,2015-09-28,14,Canada,Climate
0,1,2015-09-29,9,Canada,Climate
0,1,2015-09-30,7,Canada,Climate
0,1,2015-10-01,3,Canada,Climate
0,1,2015-10-02,5,Canada,Climate
0,1,2015-10-03,10,Canada,Climate
0,1,2015-10-04,8,Canada,Climate
0,1,2015-10-05,14,Canada,Climate
0,1,2015-10-06,4,Canada,Climate
0,1,2015-10-07,14,Canada,Climate
0,1,2015-10-08,48,Canada,Climate
0,1,2015-10-09,10,Canada,Climate
0,1,2015-10-10,7,Canada,Climate
0,1,2015-10-11,12,Canada,Climate
0,1,2015-10-12,15,Canada,Climate
0,1,2015-10-13,6,Canada,Climate
0,1,2015-10-14,4,Canada,Climate
0,1,2015-10-15,16,Canada,Climate
0,1,2015-10-16,5,Canada,Climate
0,1,2015-10-17,19,Canada,Climate
0,1,2015-10-18,21,Canada,Climate
0,1,2015-10-19,11,Canada,Climate
0,1,2015-10-20,19,Canada,Climate
0,1,2015-10-21,16,Canada,Climate
0,1,2015-10-22,19,Canada,Climate
0,1,2015-10-23,28,Canada,Climate
0,1,2015-10-24,32,Canada,Climate
0,1,2015-10-25,12,Canada,Climate
0,1,2015-10-26,15,Canada,Climate
0,1,2015-10-27,23,Canada,Climate
0,1,2015-10-28,11,Canada,Climate
0,1,2015-10-29,13,Canada,Climate
0,1,2015-10-30,5,Canada,Climate
0,1,2015-10-31,9,Canada,Climate
0,2,2015-10-04,1,Canada,Climate
0,2,2015-10-08,1,Canada,Climate
0,2,2015-10-10,1,Canada,Climate
0,2,2015-10-13,3,Canada,Climate
0,2,2015-10-15,1,Canada,Climate
0,2,2015-10-16,1,Canada,Climate
0,2,2015-10-17,4,Canada,Climate
0,2,2015-10-22,1,Canada,Climate
0,2,2015-10-23,1,Canada,Climate
0,2,2015-10-24,3,Canada,Climate
0,2,2015-10-26,1,Canada,Climate
0,2,2015-10-27,2,Canada,Climate
0,2,2015-10-30,1,Canada,Climate
0,3,2015-10-13,1,Canada,Climate
0,3,2015-10-27,1,Canada,Climate
1,0,2015-09-28,239,Canada,Climate
1,0,2015-09-29,315,Canada,Climate
1,0,2015-09-30,127,Canada,Climate
1,0,2015-10-01,305,Canada,Climate
1,0,2015-10-02,276,Canada,Climate
1,0,2015-10-03,317,Canada,Climate
1,0,2015-10-04,535,Canada,Climate
1,0,2015-10-05,565,Canada,Climate
1,0,2015-10-06,361,Canada,Climate
1,0,2015-10-07,527,Canada,Climate
1,0,2015-10-08,555,Canada,Climate
1,0,2015-10-09,503,Canada,Climate
1,0,2015-10-10,377,Canada,Climate
1,0,2015-10-11,497,Canada,Climate
1,0,2015-10-12,580,Canada,Climate
1,0,2015-10-13,515,Canada,Climate
1,0,2015-10-14,317,Canada,Climate
1,0,2015-10-15,505,Canada,Climate
1,0,2015-10-16,512,Canada,Climate
1,0,2015-10-17,626,Canada,Climate
1,0,2015-10-18,753,Canada,Climate
1,0,2015-10-19,774,Canada,Climate
1,0,2015-10-20,822,Canada,Climate
1,0,2015-10-21,736,Canada,Climate
1,0,2015-10-22,761,Canada,Climate
1,0,2015-10-23,745,Canada,Climate
1,0,2015-10-24,762,Canada,Climate
1,0,2015-10-25,546,Canada,Climate
1,0,2015-10-26,650,Canada,Climate
1,0,2015-10-27,640,Canada,Climate
1,0,2015-10-28,711,Canada,Climate
1,0,2015-10-29,592,Canada,Climate
1,0,2015-10-30,596,Canada,Climate
1,0,2015-10-31,642,Canada,Climate
1,1,2015-09-28,3,Canada,Climate
1,1,2015-09-29,13,Canada,Climate
1,1,2015-09-30,1,Canada,Climate
1,1,2015-10-02,3,Canada,Climate
1,1,2015-10-03,1,Canada,Climate
1,1,2015-10-04,1,Canada,Climate
1,1,2015-10-05,3,Canada,Climate
1,1,2015-10-06,2,Canada,Climate
1,1,2015-10-07,7,Canada,Climate
1,1,2015-10-08,10,Canada,Climate
1,1,2015-10-09,2,Canada,Climate
1,1,2015-10-10,3,Canada,Climate
1,1,2015-10-11,3,Canada,Climate
1,1,2015-10-12,2,Canada,Climate
1,1,2015-10-13,2,Canada,Climate
1,1,2015-10-14,1,Canada,Climate
1,1,2015-10-15,1,Canada,Climate
1,1,2015-10-16,2,Canada,Climate
1,1,2015-10-17,7,Canada,Climate
1,1,2015-10-18,9,Canada,Climate
1,1,2015-10-19,1,Canada,Climate
1,1,2015-10-20,13,Canada,Climate
1,1,2015-10-21,6,Canada,Climate
1,1,2015-10-22,8,Canada,Climate
1,1,2015-10-23,4,Canada,Climate
1,1,2015-10-24,6,Canada,Climate
1,1,2015-10-25,5,Canada,Climate
1,1,2015-10-26,6,Canada,Climate
1,1,2015-10-27,1,Canada,Climate
1,1,2015-10-28,5,Canada,Climate
1,1,2015-10-29,5,Canada,Climate
1,1,2015-10-30,2,Canada,Climate
1,1,2015-10-31,3,Canada,Climate
1,2,2015-09-28,1,Canada,Climate
1,2,2015-10-04,2,Canada,Climate
1,2,2015-10-08,3,Canada,Climate
1,2,2015-10-13,2,Canada,Climate
1,2,2015-10-17,2,Canada,Climate
1,2,2015-10-20,2,Canada,Climate
1,2,2015-10-22,1,Canada,Climate
1,2,2015-10-23,2,Canada,Climate
1,2,2015-10-26,1,Canada,Climate
1,2,2015-10-27,1,Canada,Climate
1,2,2015-10-31,1,Canada,Climate
1,3,2015-10-09,1,Canada,Climate
2,0,2015-09-28,41,Canada,Climate
2,0,2015-09-29,79,Canada,Climate
2,0,2015-09-30,53,Canada,Climate
2,0,2015-10-01,64,Canada,Climate
2,0,2015-10-02,51,Canada,Climate
2,0,2015-10-03,70,Canada,Climate
2,0,2015-10-04,181,Canada,Climate
2,0,2015-10-05,143,Canada,Climate
2,0,2015-10-06,75,Canada,Climate
2,0,2015-10-07,124,Canada,Climate
2,0,2015-10-08,154,Canada,Climate
2,0,2015-10-09,127,Canada,Climate
2,0,2015-10-10,94,Canada,Climate
2,0,2015-10-11,130,Canada,Climate
2,0,2015-10-12,222,Canada,Climate
2,0,2015-10-13,126,Canada,Climate
2,0,2015-10-14,103,Canada,Climate
2,0,2015-10-15,140,Canada,Climate
2,0,2015-10-16,128,Canada,Climate
2,0,2015-10-17,120,Canada,Climate
2,0,2015-10-18,194,Canada,Climate
2,0,2015-10-19,213,Canada,Climate
2,0,2015-10-20,167,Canada,Climate
2,0,2015-10-21,217,Canada,Climate
2,0,2015-10-22,210,Canada,Climate
2,0,2015-10-23,198,Canada,Climate
2,0,2015-10-24,210,Canada,Climate
2,0,2015-10-25,158,Canada,Climate
2,0,2015-10-26,140,Canada,Climate
2,0,2015-10-27,178,Canada,Climate
2,0,2015-10-28,191,Canada,Climate
2,0,2015-10-29,196,Canada,Climate
2,0,2015-10-30,149,Canada,Climate
2,0,2015-10-31,178,Canada,Climate
2,1,2015-09-29,1,Canada,Climate
2,1,2015-10-02,3,Canada,Climate
2,1,2015-10-04,2,Canada,Climate
2,1,2015-10-08,1,Canada,Climate
2,1,2015-10-09,1,Canada,Climate
2,1,2015-10-10,5,Canada,Climate
2,1,2015-10-12,1,Canada,Climate
2,1,2015-10-15,1,Canada,Climate
2,1,2015-10-17,3,Canada,Climate
2,1,2015-10-19,1,Canada,Climate
2,1,2015-10-20,2,Canada,Climate
2,1,2015-10-21,3,Canada,Climate
2,1,2015-10-23,1,Canada,Climate
2,1,2015-10-24,2,Canada,Climate
2,1,2015-10-26,1,Canada,Climate
2,1,2015-10-29,1,Canada,Climate
2,1,2015-10-31,4,Canada,Climate
2,2,2015-10-07,1,Canada,Climate
2,2,2015-10-23,1,Canada,Climate
2,2,2015-10-27,1,Canada,Climate
3,0,2015-09-28,8,Canada,Climate
3,0,2015-09-29,21,Canada,Climate
3,0,2015-09-30,18,Canada,Climate
3,0,2015-10-01,16,Canada,Climate
3,0,2015-10-02,15,Canada,Climate
3,0,2015-10-03,12,Canada,Climate
3,0,2015-10-04,39,Canada,Climate
3,0,2015-10-05,27,Canada,Climate
3,0,2015-10-06,20,Canada,Climate
3,0,2015-10-07,27,Canada,Climate
3,0,2015-10-08,32,Canada,Climate
3,0,2015-10-09,23,Canada,Climate
3,0,2015-10-10,19,Canada,Climate
3,0,2015-10-11,26,Canada,Climate
3,0,2015-10-12,38,Canada,Climate
3,0,2015-10-13,30,Canada,Climate
3,0,2015-10-14,37,Canada,Climate
3,0,2015-10-15,23,Canada,Climate
3,0,2015-10-16,66,Canada,Climate
3,0,2015-10-17,34,Canada,Climate
3,0,2015-10-18,76,Canada,Climate
3,0,2015-10-19,46,Canada,Climate
3,0,2015-10-20,42,Canada,Climate
3,0,2015-10-21,46,Canada,Climate
3,0,2015-10-22,54,Canada,Climate
3,0,2015-10-23,35,Canada,Climate
3,0,2015-10-24,22,Canada,Climate
3,0,2015-10-25,18,Canada,Climate
3,0,2015-10-26,38,Canada,Climate
3,0,2015-10-27,31,Canada,Climate
3,0,2015-10-28,39,Canada,Climate
3,0,2015-10-29,33,Canada,Climate
3,0,2015-10-30,19,Canada,Climate
3,0,2015-10-31,35,Canada,Climate
3,1,2015-10-09,1,Canada,Climate
3,1,2015-10-10,1,Canada,Climate
3,1,2015-10-11,2,Canada,Climate
3,1,2015-10-22,1,Canada,Climate
3,1,2015-10-25,1,Canada,Climate
3,1,2015-10-30,2,Canada,Climate
3,2,2015-09-29,1,Canada,Climate
4,0,2015-09-28,3,Canada,Climate
4,0,2015-09-29,3,Canada,Climate
4,0,2015-09-30,1,Canada,Climate
4,0,2015-10-01,3,Canada,Climate
4,0,2015-10-03,2,Canada,Climate
4,0,2015-10-04,9,Canada,Climate
4,0,2015-10-05,9,Canada,Climate
4,0,2015-10-06,4,Canada,Climate
4,0,2015-10-07,6,Canada,Climate
4,0,2015-10-08,5,Canada,Climate
4,0,2015-10-09,7,Canada,Climate
4,0,2015-10-10,4,Canada,Climate
4,0,2015-10-11,8,Canada,Climate
4,0,2015-10-12,11,Canada,Climate
4,0,2015-10-13,4,Canada,Climate
4,0,2015-10-14,5,Canada,Climate
4,0,2015-10-15,2,Canada,Climate
4,0,2015-10-16,4,Canada,Climate
4,0,2015-10-17,8,Canada,Climate
4,0,2015-10-18,10,Canada,Climate
4,0,2015-10-19,7,Canada,Climate
4,0,2015-10-20,6,Canada,Climate
4,0,2015-10-21,9,Canada,Climate
4,0,2015-10-22,6,Canada,Climate
4,0,2015-10-23,4,Canada,Climate
4,0,2015-10-24,9,Canada,Climate
4,0,2015-10-25,3,Canada,Climate
4,0,2015-10-26,8,Canada,Climate
4,0,2015-10-27,6,Canada,Climate
4,0,2015-10-28,6,Canada,Climate
4,0,2015-10-29,7,Canada,Climate
4,0,2015-10-30,4,Canada,Climate
4,0,2015-10-31,8,Canada,Climate
4,2,2015-10-12,1,Canada,Climate
5,0,2015-09-28,1,Canada,Climate
5,0,2015-09-29,2,Canada,Climate
5,0,2015-09-30,1,Canada,Climate
5,0,2015-10-01,1,Canada,Climate
5,0,2015-10-04,1,Canada,Climate
5,0,2015-10-07,3,Canada,Climate
5,0,2015-10-08,1,Canada,Climate
5,0,2015-10-09,1,Canada,Climate
5,0,2015-10-10,1,Canada,Climate
5,0,2015-10-11,2,Canada,Climate
5,0,2015-10-13,2,Canada,Climate
5,0,2015-10-14,2,Canada,Climate
5,0,2015-10-15,1,Canada,Climate
5,0,2015-10-18,1,Canada,Climate
5,0,2015-10-19,1,Canada,Climate
5,0,2015-10-22,1,Canada,Climate
5,0,2015-10-23,2,Canada,Climate
5,0,2015-10-25,1,Canada,Climate
5,0,2015-10-26,3,Canada,Climate
5,0,2015-10-27,3,Canada,Climate
5,0,2015-10-28,4,Canada,Climate
5,0,2015-10-29,1,Canada,Climate
5,0,2015-10-30,1,Canada,Climate
6,0,2015-10-16,1,Canada,Climate
6,0,2015-10-21,1,Canada,Climate
6,0,2015-10-29,1,Canada,Climate
6,0,2015-10-31,1,Canada,Climate
-7,0,2015-10-22,1,cdnpoli,Climate
-7,0,2015-10-29,1,cdnpoli,Climate
-6,0,2015-10-11,1,cdnpoli,Climate
-6,0,2015-10-15,1,cdnpoli,Climate
-6,0,2015-10-18,1,cdnpoli,Climate
-6,0,2015-10-22,1,cdnpoli,Climate
-6,0,2015-10-29,1,cdnpoli,Climate
-5,0,2015-10-09,1,cdnpoli,Climate
-5,0,2015-10-10,1,cdnpoli,Climate
-5,0,2015-10-11,2,cdnpoli,Climate
-5,0,2015-10-12,1,cdnpoli,Climate
-5,0,2015-10-16,3,cdnpoli,Climate
-5,0,2015-10-17,3,cdnpoli,Climate
-5,0,2015-10-18,1,cdnpoli,Climate
-5,0,2015-10-20,3,cdnpoli,Climate
-5,0,2015-10-22,5,cdnpoli,Climate
-5,0,2015-10-23,2,cdnpoli,Climate
-5,0,2015-10-24,3,cdnpoli,Climate
-5,0,2015-10-25,3,cdnpoli,Climate
-5,0,2015-10-28,1,cdnpoli,Climate
-5,0,2015-10-29,3,cdnpoli,Climate
-5,0,2015-10-30,1,cdnpoli,Climate
-5,1,2015-10-27,1,cdnpoli,Climate
-4,0,2015-10-09,3,cdnpoli,Climate
-4,0,2015-10-10,2,cdnpoli,Climate
-4,0,2015-10-11,6,cdnpoli,Climate
-4,0,2015-10-12,3,cdnpoli,Climate
-4,0,2015-10-13,7,cdnpoli,Climate
-4,0,2015-10-14,8,cdnpoli,Climate
-4,0,2015-10-15,7,cdnpoli,Climate
-4,0,2015-10-16,11,cdnpoli,Climate
-4,0,2015-10-17,8,cdnpoli,Climate
-4,0,2015-10-18,6,cdnpoli,Climate
-4,0,2015-10-19,5,cdnpoli,Climate
-4,0,2015-10-20,6,cdnpoli,Climate
-4,0,2015-10-21,12,cdnpoli,Climate
-4,0,2015-10-22,21,cdnpoli,Climate
-4,0,2015-10-23,11,cdnpoli,Climate
-4,0,2015-10-24,9,cdnpoli,Climate
-4,0,2015-10-25,6,cdnpoli,Climate
-4,0,2015-10-27,14,cdnpoli,Climate
-4,0,2015-10-28,8,cdnpoli,Climate
-4,0,2015-10-29,8,cdnpoli,Climate
-4,0,2015-10-30,9,cdnpoli,Climate
-4,0,2015-10-31,9,cdnpoli,Climate
-4,1,2015-10-15,2,cdnpoli,Climate
-4,1,2015-10-27,1,cdnpoli,Climate
-3,0,2015-10-09,40,cdnpoli,Climate
-3,0,2015-10-10,25,cdnpoli,Climate
-3,0,2015-10-11,41,cdnpoli,Climate
-3,0,2015-10-12,26,cdnpoli,Climate
-3,0,2015-10-13,32,cdnpoli,Climate
-3,0,2015-10-14,27,cdnpoli,Climate
-3,0,2015-10-15,33,cdnpoli,Climate
-3,0,2015-10-16,36,cdnpoli,Climate
-3,0,2015-10-17,32,cdnpoli,Climate
-3,0,2015-10-18,46,cdnpoli,Climate
-3,0,2015-10-19,16,cdnpoli,Climate
-3,0,2015-10-20,27,cdnpoli,Climate
-3,0,2015-10-21,32,cdnpoli,Climate
-3,0,2015-10-22,49,cdnpoli,Climate
-3,0,2015-10-23,54,cdnpoli,Climate
-3,0,2015-10-24,43,cdnpoli,Climate
-3,0,2015-10-25,29,cdnpoli,Climate
-3,0,2015-10-27,49,cdnpoli,Climate
-3,0,2015-10-28,49,cdnpoli,Climate
-3,0,2015-10-29,41,cdnpoli,Climate
-3,0,2015-10-30,26,cdnpoli,Climate
-3,0,2015-10-31,45,cdnpoli,Climate
-3,1,2015-10-17,1,cdnpoli,Climate
-3,1,2015-10-23,1,cdnpoli,Climate
-3,1,2015-10-27,4,cdnpoli,Climate
-3,1,2015-10-29,2,cdnpoli,Climate
-3,3,2015-10-29,1,cdnpoli,Climate
-2,0,2015-10-09,134,cdnpoli,Climate
-2,0,2015-10-10,93,cdnpoli,Climate
-2,0,2015-10-11,137,cdnpoli,Climate
-2,0,2015-10-12,131,cdnpoli,Climate
-2,0,2015-10-13,104,cdnpoli,Climate
-2,0,2015-10-14,155,cdnpoli,Climate
-2,0,2015-10-15,132,cdnpoli,Climate
-2,0,2015-10-16,107,cdnpoli,Climate
-2,0,2015-10-17,108,cdnpoli,Climate
-2,0,2015-10-18,144,cdnpoli,Climate
